group	auc
trad	0.587591240875912
trad	0.595498783454988
trad	0.484184914841849
trad	0.686739659367397
trad	0.473844282238443
trad	0.515206812652068
trad	0.652676399026764
trad	0.670316301703163
trad	0.65632603406326
trad	0.558394160583942
trad	0.621046228710462
trad	0.527980535279805
trad	0.69647201946472
trad	0.55352798053528
trad	0.630170316301703
trad	0.539537712895377
trad	0.447688564476886
trad	0.548053527980535
trad	0.720802919708029
trad	0.547445255474453
trad	0.588199513381995
trad	0.632603406326034
trad	0.507299270072993
trad	0.476277372262774
trad	0.714111922141119
trad	0.517031630170316
trad	0.506082725060827
trad	0.549878345498783
trad	0.60036496350365
trad	0.555352798053528
trad	0.524939172749392
trad	0.548053527980535
trad	0.497566909975669
trad	0.543795620437956
trad	0.532846715328467
trad	0.684306569343066
trad	0.6161800486618
trad	0.579683698296837
trad	0.523722627737226
trad	0.527980535279805
trad	0.712287104622871
trad	0.721411192214112
trad	0.623479318734793
trad	0.570559610705596
trad	0.552919708029197
trad	0.74330900243309
trad	0.632603406326034
trad	0.53345498783455
trad	0.511557177615572
trad	0.524330900243309
trad	0.635036496350365
trad	0.584549878345499
trad	0.653284671532847
trad	0.501216545012165
trad	0.511557177615572
trad	0.58941605839416
trad	0.619829683698297
trad	0.487226277372263
trad	0.6338199513382
trad	0.751216545012166
trad	0.668491484184915
trad	0.644160583941606
trad	0.509124087591241
trad	0.574209245742092
trad	0.58698296836983
trad	0.592457420924574
trad	0.4330900243309
trad	0.63625304136253
trad	0.765815085158151
trad	0.610097323600973
trad	0.490875912408759
trad	0.655717761557178
trad	0.644768856447689
trad	0.577858880778589
trad	0.556569343065694
trad	0.599756690997567
trad	0.591240875912409
trad	0.724452554744526
trad	0.610705596107056
trad	0.56021897810219
trad	0.566301703163017
trad	0.583941605839416
trad	0.555352798053528
trad	0.746350364963504
trad	0.559002433090024
trad	0.496350364963504
trad	0.617396593673966
trad	0.490267639902676
trad	0.700729927007299
trad	0.74330900243309
trad	0.546228710462287
trad	0.512165450121654
trad	0.663625304136253
trad	0.516423357664234
trad	0.688564476885645
trad	0.432481751824818
trad	0.731143552311436
trad	0.618004866180049
trad	0.712895377128954
trad	0.504866180048662
grs	0.557682083997873
grs	0.563264221158958
grs	0.598617756512493
grs	0.556618819776714
grs	0.564460393407762
grs	0.559675704412547
grs	0.63264221158958
grs	0.561270600744285
grs	0.517676767676768
grs	0.580542264752791
grs	0.48498139287613
grs	0.532030834662414
grs	0.582535885167464
grs	0.550239234449761
grs	0.534290271132376
grs	0.589314194577352
grs	0.616560340244551
grs	0.618686868686869
grs	0.486709197235513
grs	0.629585326953748
grs	0.52591706539075
grs	0.667729930887826
grs	0.613636363636364
grs	0.475146198830409
grs	0.574694311536417
grs	0.609383306751728
grs	0.554226475279107
grs	0.637958532695375
grs	0.520334928229665
grs	0.63729399255715
grs	0.560207336523126
grs	0.499867091972355
grs	0.582402977139819
grs	0.586124401913876
grs	0.536549707602339
grs	0.573896863370548
grs	0.594630515683147
grs	0.529372674109516
grs	0.459861775651249
grs	0.551834130781499
grs	0.527246145667198
grs	0.521398192450824
grs	0.564327485380117
grs	0.626794258373206
grs	0.546916533758639
grs	0.552631578947368
grs	0.493620414673046
grs	0.554891015417331
grs	0.494019138755981
grs	0.528442317916002
grs	0.622674109516215
grs	0.579744816586922
grs	0.600877192982456
grs	0.501063264221159
grs	0.587586390217969
grs	0.594497607655502
grs	0.544391281233386
grs	0.58625730994152
grs	0.543593833067517
grs	0.567783094098884
grs	0.574295587453482
grs	0.532429558745348
grs	0.545055821371611
grs	0.635167464114832
grs	0.594364699627857
grs	0.503189792663477
grs	0.503455608718767
grs	0.575093035619351
grs	0.522727272727273
grs	0.539739500265816
grs	0.532828282828283
grs	0.546517809675704
grs	0.54093567251462
grs	0.517012227538543
grs	0.57177033492823
grs	0.528309409888357
grs	0.56578947368421
grs	0.527910685805423
grs	0.527379053694843
