group	score
Microbial Risk Score	-0.349003543050701
Microbial Risk Score	-2.15376160089201
Microbial Risk Score	0.218369237661091
Microbial Risk Score	0.7338364684082
Microbial Risk Score	0.386166538594024
Microbial Risk Score	-0.369865787453025
Microbial Risk Score	-1.42985017809818
Microbial Risk Score	-0.476344400100774
Microbial Risk Score	0.246253628327769
Microbial Risk Score	-0.0163245879627936
Microbial Risk Score	0.00686504163820921
Microbial Risk Score	-0.42661090806366
Microbial Risk Score	0.390782740340966
Microbial Risk Score	-0.810226630264672
Microbial Risk Score	-1.40710470292828
Microbial Risk Score	-0.471048906487484
Microbial Risk Score	0.162478139513004
Microbial Risk Score	0.0578878660044528
Microbial Risk Score	-1.14572583326512
Microbial Risk Score	-0.268883155998005
Microbial Risk Score	-0.417036839106162
Microbial Risk Score	0.454477914111291
Microbial Risk Score	-1.30779348167207
Microbial Risk Score	-1.45808636502985
Microbial Risk Score	-1.54046865834716
Microbial Risk Score	0.825774716226438
Microbial Risk Score	-0.863936732389439
Microbial Risk Score	1.62023777457313
Microbial Risk Score	0.263719626296479
Microbial Risk Score	0.399015119554704
Microbial Risk Score	-0.922613792789295
Microbial Risk Score	-0.920579656836725
Microbial Risk Score	0.199684021988691
Microbial Risk Score	-1.42188757129848
Microbial Risk Score	-0.122280246809311
Microbial Risk Score	0.574561992052649
Microbial Risk Score	-0.956293587585313
Microbial Risk Score	0.472829795392025
Microbial Risk Score	0.557681913268634
Microbial Risk Score	-1.74314984340979
Microbial Risk Score	-0.742732235654976
Microbial Risk Score	1.79570812887954
Microbial Risk Score	0.353512671852159
Microbial Risk Score	0.540362758921278
Microbial Risk Score	-0.758695489253251
Microbial Risk Score	0.217244602107242
Microbial Risk Score	-0.520032490650668
Microbial Risk Score	-0.899967099512184
Microbial Risk Score	-0.555635095828187
Microbial Risk Score	1.43797470052075
Microbial Risk Score	0.41372483664366
Microbial Risk Score	1.13688898270097
Microbial Risk Score	0.71023244668836
Microbial Risk Score	-0.756963760872163
Microbial Risk Score	-0.35918544430229
Microbial Risk Score	-0.733889950621401
Microbial Risk Score	-1.20567661398277
Microbial Risk Score	-0.785716932041012
Microbial Risk Score	-0.864623250242111
Microbial Risk Score	-1.38859299330063
Microbial Risk Score	-1.4849176981958
Microbial Risk Score	0.225287251690182
Microbial Risk Score	-1.09086941804859
Microbial Risk Score	2.10419236314395
Microbial Risk Score	0.346386697585601
Microbial Risk Score	0.00682913889242518
Microbial Risk Score	-0.485609752291826
Microbial Risk Score	-1.41063378097351
Microbial Risk Score	-1.26700362489096
Microbial Risk Score	0.353624425461515
Microbial Risk Score	-1.4715758849524
Microbial Risk Score	1.7141718471044
Microbial Risk Score	-0.897967805311247
Microbial Risk Score	1.84748497154679
Microbial Risk Score	-0.543500319277689
Microbial Risk Score	-0.374056290354937
Microbial Risk Score	0.291291592350156
Microbial Risk Score	-0.0450700407212747
Microbial Risk Score	-1.16311333823164
Microbial Risk Score	0.645173898051975
Microbial Risk Score	-1.53296393599863
Microbial Risk Score	-0.727251360634009
Microbial Risk Score	1.29018101067214
Microbial Risk Score	-0.321079108149248
Microbial Risk Score	-0.407036976528969
Microbial Risk Score	0.265651421113127
Microbial Risk Score	0.0240380383274478
Microbial Risk Score	1.52596602890778
Microbial Risk Score	-0.672838600311433
Microbial Risk Score	0.46301691003125
Microbial Risk Score	0.318851299956099
Microbial Risk Score	1.02273802638476
Microbial Risk Score	-0.389604437561383
Microbial Risk Score	0.0706619708318679
Microbial Risk Score	-1.32041730680212
Microbial Risk Score	1.71657161159989
Microbial Risk Score	1.00011185289552
Microbial Risk Score	-1.10901788163449
Microbial Risk Score	0.649467971744648
Microbial Risk Score	0.103756488673608
Microbial Risk Score	0.669312164555717
Microbial Risk Score	0.544936039277983
Microbial Risk Score	0.264110287777151
Microbial Risk Score	-1.05713804950119
Microbial Risk Score	1.19491245869121
Microbial Risk Score	-0.277884575385908
Microbial Risk Score	0.248292682419855
Microbial Risk Score	0.865828441232307
Microbial Risk Score	-0.934235709578102
Microbial Risk Score	-1.23848635887949
Microbial Risk Score	-0.0123683864146377
Microbial Risk Score	-0.691910858932663
Microbial Risk Score	0.418613962970515
Microbial Risk Score	0.536374579517644
Microbial Risk Score	1.706360394257
Microbial Risk Score	0.00365309053951017
Microbial Risk Score	-0.682392232653867
Microbial Risk Score	-0.546425353291556
Microbial Risk Score	-1.07210539604055
Microbial Risk Score	-1.14963838240202
Microbial Risk Score	-0.788714109871599
Microbial Risk Score	-0.67933882403342
Microbial Risk Score	0.173463514980446
Microbial Risk Score	0.292639966859973
Microbial Risk Score	1.02052981680906
Microbial Risk Score	0.291046956601081
Microbial Risk Score	-0.483251887753457
Microbial Risk Score	0.646340630322541
Microbial Risk Score	0.276566784666614
Microbial Risk Score	-0.364446066984478
Microbial Risk Score	0.672755439357696
Microbial Risk Score	1.07132753969577
Microbial Risk Score	0.321520895088225
Microbial Risk Score	-0.566016243987578
Microbial Risk Score	-1.13778558277767
Microbial Risk Score	0.176948435051713
Microbial Risk Score	1.18713366608414
Microbial Risk Score	0.286254682250067
Microbial Risk Score	-0.189687225052677
Microbial Risk Score	-1.41390675972028
Microbial Risk Score	0.0142924247327025
Microbial Risk Score	0.495520661217246
Microbial Risk Score	1.87450974249882
Microbial Risk Score	1.4596652240382
Microbial Risk Score	0.380990156527297
Microbial Risk Score	-1.61480608182232
Microbial Risk Score	-1.25119745897318
Microbial Risk Score	0.647387755730149
Microbial Risk Score	-0.522199267535091
Microbial Risk Score	-1.49668330929414
Microbial Risk Score	-0.820150726942728
Microbial Risk Score	-0.458840590439604
Microbial Risk Score	-0.15105770222739
Microbial Risk Score	0.539159703625991
Microbial Risk Score	0.50544583342981
Microbial Risk Score	-0.917933151150264
Microbial Risk Score	0.719575080683376
Microbial Risk Score	-0.0701650678051732
Microbial Risk Score	-0.68971798550862
Microbial Risk Score	-0.844644163637663
Microbial Risk Score	-0.13326720382028
Microbial Risk Score	-0.0345775773693445
Microbial Risk Score	-0.952388493807405
Microbial Risk Score	2.03601264340845
Microbial Risk Score	0.0447741539383727
Microbial Risk Score	-0.528246827458636
Microbial Risk Score	0.764067496091563
Microbial Risk Score	0.573981026704538
Microbial Risk Score	1.07245207201411
Microbial Risk Score	-0.405057322834389
Microbial Risk Score	1.48420492618704
Microbial Risk Score	0.342179999110592
Microbial Risk Score	-0.504450956000306
Microbial Risk Score	-1.20264088665454
Microbial Risk Score	-0.156419743835112
Microbial Risk Score	-1.10607303994414
Microbial Risk Score	-0.985494936007624
Microbial Risk Score	0.197291193002616
Microbial Risk Score	0.856861777906735
Microbial Risk Score	-0.28024435264557
Microbial Risk Score	0.982969978228168
Microbial Risk Score	-0.242112882865399
Microbial Risk Score	-1.12834092992512
Microbial Risk Score	0.937745886017273
