shannon	simpson
3.2670705995927	0.929701934328393
2.85437836831031	0.883633241203679
3.19347813379186	0.936303469393695
3.25045965372922	0.924639013440025
2.39329067551793	0.795867898409189
3.28637582492522	0.935965776447507
2.52096590414356	0.857689869350408
2.95182088252626	0.847961883543504
2.46316740215901	0.748584583714463
3.13710912016478	0.910367362959496
2.74866137711079	0.892008498208281
3.21678444239146	0.91860533152814
3.38740418080837	0.947647278076642
3.03315665556796	0.909388458271403
3.04996691420356	0.93174986910126
3.3772801840705	0.946440912933993
3.03409484552613	0.92248048354712
3.21796439624354	0.9321386858663
3.23011271107837	0.917774198995911
3.2354610524983	0.938542544713574
3.3015439919736	0.934420274427425
3.15718113878554	0.931825912648788
3.72028863890392	0.958396889314173
2.37978439663147	0.775944076603704
3.34588243934883	0.935809786173594
3.22577609650505	0.929538373755965
2.89560251362395	0.892030726362989
3.32989850396334	0.939109982397616
2.71591754544581	0.884889761282382
2.89984526701484	0.863477039788098
2.95109636344816	0.900204635969868
2.79562443053167	0.898168944602852
2.63433912792379	0.85686408260397
3.09824586020469	0.914041524609013
3.13976882572326	0.92775359827767
2.96938668268851	0.870856149184785
3.21393756528757	0.919097944357166
2.93856229869252	0.90703880878626
2.99005547151345	0.909288171640016
3.31741021204668	0.941556873548116
2.78541363487708	0.85922807118802
3.4097387597734	0.940075608541786
3.53962226596504	0.95484724922328
2.87196313547661	0.889975999883691
3.55403636552173	0.955363782652781
3.08118847247391	0.911637893312972
2.75254364298314	0.858896722061945
2.77471871797258	0.893294509457107
3.21178872497399	0.928183418419607
2.75902840311706	0.855636299725826
3.23487815716977	0.904960641365022
2.9774583164766	0.907420843291841
2.92167680223171	0.890399844798547
3.20368655596322	0.928051762210543
3.13276253932496	0.912885208719923
3.03857871941449	0.919429337412354
2.62683585887695	0.844906375417145
3.25364682804928	0.93693089889666
3.28239453663355	0.93564655414368
3.3051030610434	0.936451118753604
3.04914653679436	0.907811478333375
2.9028724126259	0.910977933413775
2.73334893401638	0.872491730889527
2.55924460003523	0.85054446686988
3.2586019047986	0.940940307826352
3.10997923419735	0.884375992568122
3.38499735589291	0.945525030935137
3.17740841532393	0.926502470153839
3.58269276519649	0.95404524323794
3.40770358931319	0.942560046524541
2.80549150514784	0.87881368807291
3.2138984368701	0.933683374201111
2.93684392475258	0.893037064556318
2.95391559074484	0.89291104843394
1.65084496210241	0.512928397477306
2.57975121777637	0.875386125461696
3.59497719103759	0.959428759908998
2.60254370025333	0.832449139127479
3.17994959552447	0.929608216894625
3.58249050268276	0.949314512911293
2.92874028102124	0.898303439903064
2.86021969875958	0.895645296739554
3.25286750648478	0.925147565938904
3.36058319752773	0.939655644474805
2.96339097139257	0.921104385237057
2.85579114625252	0.884761164879678
3.23954505331408	0.924476904437485
2.92997506777625	0.90748136783138
3.01961933679173	0.917272388659013
1.29284929173684	0.484318495819051
3.02553499155254	0.916792015126189
2.82681431953364	0.824834235229445
3.1425082120102	0.921040011428809
1.89621724402683	0.575148754455267
2.97807912064645	0.904959131008885
3.3690249061412	0.946224612705673
2.76016519540225	0.890457633636378
2.86836315959539	0.91207535363668
2.3755461021036	0.768590565827656
2.84243212259297	0.890359927938576
3.36097660334112	0.942875552092289
2.81505361135025	0.87713990183068
3.18735625772568	0.923625191303587
3.03772204887267	0.912772273006088
2.98565750103147	0.908134592284823
2.90422029585561	0.883630042938866
3.13911485504226	0.921188085763498
2.92926354813888	0.908923384897258
2.6611399749722	0.883330508430168
3.3308970351819	0.94254632610696
2.41180053296712	0.822145588574959
3.19157743949423	0.917821762549288
1.87809503570373	0.621258245292172
2.89391671002389	0.905326039261947
3.55022484372676	0.957551980818045
2.67098040248106	0.861508719539378
3.31738219155941	0.931579085226547
3.14591546600127	0.919994061706968
3.08272403704237	0.908615096454511
3.24453374829059	0.919031115266108
