id	GDM	ec	abundance	jitter_group	jitter_position
1_202	Control	1.3.1.9	0.00122805	1	-0.19
1_203	Control	1.3.1.9	0.00159872	1	-0.19
1_204	GDM	1.3.1.9	0.00268419	1	0.19
1_205	Control	1.3.1.9	0.00165679	1	-0.19
1_206	GDM	1.3.1.9	0.00139827	1	0.19
1_207	Control	1.3.1.9	0.00138431	1	-0.19
1_208	Control	1.3.1.9	0.00163857	1	-0.19
1_209	GDM	1.3.1.9	0.0016468	1	0.19
1_21	Control	1.3.1.9	0.00204303	1	-0.19
1_210	GDM	1.3.1.9	0.00142007	1	0.19
1_211	Control	1.3.1.9	0.00170376	1	-0.19
1_212	GDM	1.3.1.9	0.0013309	1	0.19
1_213	Control	1.3.1.9	0.00189242	1	-0.19
1_214	GDM	1.3.1.9	0.00151552	1	0.19
1_215	Control	1.3.1.9	0.00148569	1	-0.19
1_216	GDM	1.3.1.9	0.00151954	1	0.19
1_217	GDM	1.3.1.9	0.00236814	1	0.19
1_218	Control	1.3.1.9	0.00151863	1	-0.19
1_219	GDM	1.3.1.9	0.00333771	1	0.19
1_22	GDM	1.3.1.9	0.00144726	1	0.19
1_220	GDM	1.3.1.9	0.00296926	1	0.19
1_221	GDM	1.3.1.9	0.00322395	1	0.19
1_222	Control	1.3.1.9	0.00249404	1	-0.19
1_223	Control	1.3.1.9	0.00165407	1	-0.19
1_224	Control	1.3.1.9	0.00142446	1	-0.19
1_225	GDM	1.3.1.9	0.001368	1	0.19
1_226	Control	1.3.1.9	0.00110202	1	-0.19
1_227	Control	1.3.1.9	0.000868305	1	-0.19
1_228	GDM	1.3.1.9	0.00111279	1	0.19
1_229	GDM	1.3.1.9	0.00173382	1	0.19
1_23	GDM	1.3.1.9	0.00143544	1	0.19
1_230	Control	1.3.1.9	0.00155696	1	-0.19
1_231	Control	1.3.1.9	0.00190132	1	-0.19
1_232	Control	1.3.1.9	0.001432	1	-0.19
1_233	GDM	1.3.1.9	0.0015485	1	0.19
1_234	Control	1.3.1.9	0.00180479	1	-0.19
1_235	Control	1.3.1.9	0.00150978	1	-0.19
1_236	GDM	1.3.1.9	0.000769267	1	0.19
1_237	Control	1.3.1.9	0.000498971	1	-0.19
1_238	Control	1.3.1.9	0.00243035	1	-0.19
1_239	Control	1.3.1.9	0.00104698	1	-0.19
1_240	GDM	1.3.1.9	0.00157505	1	0.19
1_241	Control	1.3.1.9	0.000671639	1	-0.19
1_242	Control	1.3.1.9	0.00129497	1	-0.19
1_25	GDM	1.3.1.9	0.00139583	1	0.19
1_26	Control	1.3.1.9	0.00133511	1	-0.19
1_27	Control	1.3.1.9	0.000900153	1	-0.19
1_28	GDM	1.3.1.9	0.00162449	1	0.19
1_29	Control	1.3.1.9	0.00161857	1	-0.19
1_3	GDM	1.3.1.9	0.000553189	1	0.19
1_30	GDM	1.3.1.9	0.00272574	1	0.19
1_31	Control	1.3.1.9	0.000814261	1	-0.19
1_32	GDM	1.3.1.9	0.00215483	1	0.19
1_33	Control	1.3.1.9	0.0018122	1	-0.19
1_34	Control	1.3.1.9	0.00135226	1	-0.19
1_35	GDM	1.3.1.9	0.00045686	1	0.19
1_36	Control	1.3.1.9	0.00084996	1	-0.19
1_37	GDM	1.3.1.9	0.00115411	1	0.19
1_38	Control	1.3.1.9	0.000329287	1	-0.19
1_39	GDM	1.3.1.9	0.00119514	1	0.19
1_4	Control	1.3.1.9	0.0011278	1	-0.19
1_40	GDM	1.3.1.9	0.00147151	1	0.19
1_41	Control	1.3.1.9	0.00112853	1	-0.19
1_42	GDM	1.3.1.9	0.00146702	1	0.19
1_43	GDM	1.3.1.9	0.000511053	1	0.19
1_44	Control	1.3.1.9	0.000845571	1	-0.19
1_45	GDM	1.3.1.9	0.00140307	1	0.19
1_46	Control	1.3.1.9	0.00111642	1	-0.19
1_47	GDM	1.3.1.9	0.000874582	1	0.19
1_48	Control	1.3.1.9	0.00174263	1	-0.19
1_49	Control	1.3.1.9	0.00157516	1	-0.19
1_5	GDM	1.3.1.9	0.000840002	1	0.19
1_50	GDM	1.3.1.9	0.00154477	1	0.19
1_51	Control	1.3.1.9	0.000728631	1	-0.19
1_52	GDM	1.3.1.9	0.00147951	1	0.19
1_53	Control	1.3.1.9	0.0015664	1	-0.19
1_54	GDM	1.3.1.9	0.000768265	1	0.19
1_55	Control	1.3.1.9	0.000798379	1	-0.19
1_56	GDM	1.3.1.9	0.00114566	1	0.19
1_57	Control	1.3.1.9	0.00108157	1	-0.19
1_58	GDM	1.3.1.9	0.000974	1	0.19
1_59	Control	1.3.1.9	0.00113574	1	-0.19
1_6	Control	1.3.1.9	0.00105018	1	-0.19
1_60	GDM	1.3.1.9	0.00116736	1	0.19
1_61	Control	1.3.1.9	0.000687207	1	-0.19
1_62	GDM	1.3.1.9	0.00132415	1	0.19
1_63	Control	1.3.1.9	0.000860969	1	-0.19
1_64	GDM	1.3.1.9	0.00109001	1	0.19
1_65	Control	1.3.1.9	0.00203448	1	-0.19
1_66	GDM	1.3.1.9	0.00127636	1	0.19
1_67	GDM	1.3.1.9	0.00112161	1	0.19
1_68	Control	1.3.1.9	0.00112996	1	-0.19
1_69	Control	1.3.1.9	0.00133343	1	-0.19
1_7	GDM	1.3.1.9	0.000443931	1	0.19
1_70	GDM	1.3.1.9	0.00136664	1	0.19
1_71	Control	1.3.1.9	0.000818753	1	-0.19
1_72	Control	1.3.1.9	0.00136003	1	-0.19
1_73	GDM	1.3.1.9	0.000863286	1	0.19
1_74	GDM	1.3.1.9	0.0022437	1	0.19
1_75	Control	1.3.1.9	0.000963583	1	-0.19
1_77	Control	1.3.1.9	5.55674e-05	1	-0.19
1_78	GDM	1.3.1.9	0.000305558	1	0.19
1_79	Control	1.3.1.9	0.00121592	1	-0.19
1_8	Control	1.3.1.9	0.0013804	1	-0.19
1_80	GDM	1.3.1.9	0.000753418	1	0.19
1_81	GDM	1.3.1.9	0.000276461	1	0.19
1_82	GDM	1.3.1.9	0.00198545	1	0.19
1_83	GDM	1.3.1.9	0.00110928	1	0.19
1_84	GDM	1.3.1.9	0.000637618	1	0.19
1_85	Control	1.3.1.9	0.00154395	1	-0.19
1_86	Control	1.3.1.9	0.00081935	1	-0.19
1_87	Control	1.3.1.9	0.000884604	1	-0.19
1_88	Control	1.3.1.9	0.0012452	1	-0.19
1_89	Control	1.3.1.9	0.00247385	1	-0.19
1_9	Control	1.3.1.9	0.000894996	1	-0.19
1_90	Control	1.3.1.9	0.000319913	1	-0.19
1_91	GDM	1.3.1.9	0.000593264	1	0.19
1_92	GDM	1.3.1.9	0.000918999	1	0.19
1_93	Control	1.3.1.9	0.000470367	1	-0.19
1_94	Control	1.3.1.9	0.00103936	1	-0.19
1_95	Control	1.3.1.9	0.00107911	1	-0.19
1_96	GDM	1.3.1.9	0.00120577	1	0.19
1_97	GDM	1.3.1.9	0.000761104	1	0.19
1_98	GDM	1.3.1.9	0.000317363	1	0.19
1_99	GDM	1.3.1.9	0.00140355	1	0.19
SL_1_01	Control	1.3.1.9	0.000678142	1	-0.19
SL_1_02	GDM	1.3.1.9	0.000185776	1	0.19
SL_1_03	Control	1.3.1.9	0.000225776	1	-0.19
SL_1_04	GDM	1.3.1.9	0.000602286	1	0.19
SL_1_05	Control	1.3.1.9	0.000317315	1	-0.19
SL_1_08	Control	1.3.1.9	0.000244924	1	-0.19
SL_1_09	Control	1.3.1.9	0.000878088	1	-0.19
SL_1_11	GDM	1.3.1.9	0.000328301	1	0.19
SL_1_14	GDM	1.3.1.9	0.000344718	1	0.19
SL_1_15	GDM	1.3.1.9	0.000472356	1	0.19
SL_1_16	Control	1.3.1.9	7.60189e-05	1	-0.19
SL_1_18	Control	1.3.1.9	0.000233777	1	-0.19
SL_1_20	Control	1.3.1.9	0.000184864	1	-0.19
SL_1_22	Control	1.3.1.9	0.000492155	1	-0.19
SL_1_23	GDM	1.3.1.9	0.00100563	1	0.19
SL_1_24	Control	1.3.1.9	0.000877307	1	-0.19
SL_1_25	Control	1.3.1.9	0.000442515	1	-0.19
SL_1_26	GDM	1.3.1.9	0.000115392	1	0.19
SL_1_30	GDM	1.3.1.9	0.000102472	1	0.19
SL_1_31	GDM	1.3.1.9	0.000439249	1	0.19
SL_1_33	Control	1.3.1.9	0.00066813	1	-0.19
SL_1_34	Control	1.3.1.9	0.000755554	1	-0.19
SL_1_35	GDM	1.3.1.9	0.000146678	1	0.19
SL_1_38	GDM	1.3.1.9	0.000263662	1	0.19
SL_1_40	Control	1.3.1.9	0.00135468	1	-0.19
SL_1_41	Control	1.3.1.9	0.000384851	1	-0.19
SL_1_44	Control	1.3.1.9	0.000304341	1	-0.19
SL_1_46	Control	1.3.1.9	0.000271665	1	-0.19
SL_1_47	Control	1.3.1.9	0.000299012	1	-0.19
SL_1_48	Control	1.3.1.9	0.000422778	1	-0.19
SL_1_49	Control	1.3.1.9	0.00134199	1	-0.19
SL_1_51	Control	1.3.1.9	7.55641e-05	1	-0.19
SL_1_61	Control	1.3.1.9	0.000464559	1	-0.19
SL_1_63	Control	1.3.1.9	0.000215143	1	-0.19
SL_1_64	Control	1.3.1.9	0.000360154	1	-0.19
SL_1_65	Control	1.3.1.9	0.000182843	1	-0.19
SL_1_66	GDM	1.3.1.9	0.000413399	1	0.19
SL_1_67	Control	1.3.1.9	0.000263458	1	-0.19
SL_1_68	Control	1.3.1.9	0.000376457	1	-0.19
SL_1_71	Control	1.3.1.9	0.000516105	1	-0.19
SL_1_73	GDM	1.3.1.9	0.000124311	1	0.19
SL_1_74	Control	1.3.1.9	0.000133812	1	-0.19
SL_1_75	Control	1.3.1.9	0.000583072	1	-0.19
SL_1_78	Control	1.3.1.9	0.000462852	1	-0.19
SL_1_80	Control	1.3.1.9	0.0008121	1	-0.19
SL_1_81	GDM	1.3.1.9	0.000539814	1	0.19
SL_1_82	Control	1.3.1.9	0.000411543	1	-0.19
SL_1_84	Control	1.3.1.9	9.47842e-05	1	-0.19
SL_1_85	Control	1.3.1.9	0.000723826	1	-0.19
SL_1_87	Control	1.3.1.9	0.000144832	1	-0.19
SL_1_88	Control	1.3.1.9	0.000696457	1	-0.19
SL_1_91	GDM	1.3.1.9	0.000240496	1	0.19
SL_1_92	Control	1.3.1.9	0.00078828	1	-0.19
SL_1_93	Control	1.3.1.9	0.000206288	1	-0.19
SL_1_94	GDM	1.3.1.9	0.000554285	1	0.19
SL_1_95	Control	1.3.1.9	0.00054245	1	-0.19
SL_1_96	GDM	1.3.1.9	0.00115216	1	0.19
SL_1_99	Control	1.3.1.9	0.000296734	1	-0.19
SL_2_01	Control	1.3.1.9	0.00165378	1	-0.19
SL_2_04	Control	1.3.1.9	0.000501262	1	-0.19
SL_2_05	Control	1.3.1.9	0.00153317	1	-0.19
SL_2_06	Control	1.3.1.9	0.000203177	1	-0.19
SL_2_07	GDM	1.3.1.9	0.000469463	1	0.19
SL_2_08	Control	1.3.1.9	0.000449259	1	-0.19
SL_2_09	Control	1.3.1.9	0.000330583	1	-0.19
SL_2_12	Control	1.3.1.9	0.000878339	1	-0.19
SL_2_14	Control	1.3.1.9	0.000629318	1	-0.19
SL_2_15	Control	1.3.1.9	0.000525756	1	-0.19
SL_2_16	Control	1.3.1.9	0.00127753	1	-0.19
SL_2_19	Control	1.3.1.9	0.000312036	1	-0.19
SL_2_21	Control	1.3.1.9	0.000754274	1	-0.19
SL_2_22	GDM	1.3.1.9	0.00022218	1	0.19
SL_2_23	GDM	1.3.1.9	0.00166604	1	0.19
SL_2_24	Control	1.3.1.9	0.000609973	1	-0.19
SL_2_25	Control	1.3.1.9	0.000974642	1	-0.19
SL_2_26	Control	1.3.1.9	0.000241584	1	-0.19
SL_2_28	Control	1.3.1.9	0.000289959	1	-0.19
SL_2_32	GDM	1.3.1.9	0.00102409	1	0.19
SL_2_33	GDM	1.3.1.9	0.000530653	1	0.19
SL_2_34	Control	1.3.1.9	0.000456029	1	-0.19
SL_2_37	Control	1.3.1.9	0.00082808	1	-0.19
SL_2_38	Control	1.3.1.9	0.000817609	1	-0.19
SL_2_40	Control	1.3.1.9	0.00072572	1	-0.19
SL_2_44	Control	1.3.1.9	0.000498687	1	-0.19
SL_2_45	Control	1.3.1.9	0.000649508	1	-0.19
