PCoA1	PCoA2	id
-0.035237062220261	0.0151082755797098	1
-0.126586315696538	0.0610729446085351	2
-0.047646683017182	0.0463694370826649	3
-0.036965786775846	0.0233727769316104	4
-0.0355107897782862	-0.0745620528366632	5
0.0789969296601595	-0.000129250072179406	6
-0.0389863932678517	-0.042127549223482	7
-0.0413735007969331	0.0225387099180351	8
-0.0711006871140054	-0.0180300221564924	9
0.080382958927861	0.0826504661807177	10
0.0116026822332831	0.0216446438023037	11
0.0186087833820123	0.0329880765562031	12
0.0575463829407701	0.0751040871896965	13
-0.013778601630173	-0.024912497809289	14
-0.0403857445371855	0.0842829299029373	15
-0.0302732670087376	0.0481305052897465	16
0.108946444118661	0.0225494899396398	17
-0.0129829650317463	0.0634342692060608	18
-0.0595973519723738	0.0427848954263328	19
-0.034461541597842	-0.0573552528703665	20
-0.0745713970828807	0.0455446604302587	21
-0.0543186990861764	0.0121025329320129	22
0.072728964142938	0.0754605287691494	23
-0.0799009113239122	0.0895742336461455	24
0.0804101413748788	0.0323090488534519	25
-0.0491544039564243	0.0381005652123082	26
-0.0210598440648615	-0.0353724060054894	27
-0.0146544987539147	0.0834797667358775	28
-0.00444039819522147	-0.0808898951267554	29
-0.0438932094572748	-0.0019447629497623	30
-0.0371170284375983	0.005567031957956	31
0.017597769926687	0.00078565552105232	32
0.036228233466403	-0.0991243731311198	33
-0.0850437012285554	0.0524789533835996	34
-0.0498297510000472	0.0234295768199486	35
-0.0601330624096637	0.00743033465330316	36
-0.0820559670534228	0.055516449873817	37
0.052017565730379	-0.140709408903908	38
0.0245484337145982	-0.123263901724383	39
-0.0129826782961379	-0.0466193394989482	40
0.0317218155904172	0.0258086265628196	41
0.00528926180763931	0.021076520708621	42
0.123159527380601	0.0620110971662568	43
-0.0562445791525598	1.83928670019695e-05	44
0.000356378714165875	0.0551226273472678	45
-0.0406692245221651	0.0412688146066504	46
-0.0101492758873712	-0.0411536661644664	47
-0.114278255281127	0.0609874761550867	48
-0.131942760784203	-0.0977758201402523	49
0.0720725016372755	-0.0363534957335338	50
-0.0400463415917131	-0.0260328830377427	51
-0.0564055662803856	0.0811578434607154	52
-0.0731528448068235	0.0531775431735292	53
0.0459746775325982	0.0247920589982586	54
-0.0929752188809569	0.0255394937430135	55
0.0545124936847623	0.0883371791756683	56
-0.0983731199102013	0.0587250016509368	57
-0.00323406029641589	0.0263112871804757	58
-0.00165386487016036	0.00177163856496921	59
0.163271554461344	-0.0111392898798998	60
-0.083889178572548	0.0621557564017296	61
0.0644937509370703	-0.0234606204545694	62
0.120585989526947	-0.0527736338546354	63
0.0213039741230746	-0.121019769256909	64
0.0638138630935587	-0.025877152688726	65
0.0354329699234268	0.0172869626386309	66
-0.0765215536515854	0.0611194449356513	67
-0.0821033382383404	0.0402724527492246	68
0.0073962758374402	-0.0111653857696987	69
0.00786883569302406	0.0128247709817864	70
0.0262635508682624	-0.0606377413537903	71
0.0469267115483098	0.0119136396496258	72
0.0173316775980198	0.00062698807400325	73
0.0201911306855546	0.0252839218527821	74
-0.0216045712156556	-0.088369450269842	75
0.0304445358420013	0.111588385581555	76
0.0584635277960212	0.0428252869277223	77
-0.0661860260314469	-0.0474074878781715	78
0.0283452811108229	0.0752355464389941	79
-0.0491538282921231	0.0731565066611166	80
0.0743947386888318	-0.121378462883746	81
-0.0717650855709656	0.0507810213429105	82
-0.0799748606331345	0.044999453517578	83
-0.0095620479344782	0.0593344461218969	84
