comp1	comp2	comp3	comp4	comp5	comp6
1.09057394216765	3.62339968830552	-2.5304528794603	-0.166835301890427	3.39085993352476	-2.16747073044081
-3.47129768966801	-1.44652274515085	-0.914536743529944	-0.890997086835631	0.49592434990195	1.91164394949748
0.348455235980939	10.7442015432486	-2.92238367806963	-0.211876284032376	-5.30078205888933	-9.33288567326433
0.315504187088627	4.65966018764322	-0.421983502131843	-0.9568185902811	-2.60454230242729	-3.22949416838544
1.44834737191075	0.879976654983374	-1.30326884836564	-1.65852440497661	0.658123174768656	0.219645830645916
0.568173775176686	2.02526388952573	-0.821415751244133	-1.05183154284145	-1.0966193155787	-1.2628859092034
-3.93163528285869	0.329284843265977	-0.68448673541779	0.60518808339638	2.27172409014505	3.81222504940574
-2.8938931508539	0.105833738546345	-0.181733570571657	0.181107512808837	0.580055596934429	1.55100556945675
-2.31603135884923	3.45506720812006	0.0679117735261128	-0.207224564842727	0.0993226680126785	-2.43034120466652
-0.0194642856451711	4.68712205434936	-0.894709141421895	-1.76987331095697	-4.1381291278513	-2.80014761773454
1.93303920127164	1.06972307062759	-1.94740036320608	-0.687799924645181	-1.93999520807112	1.62230661342263
-1.45703326155204	-0.163036284019103	-0.339987392818411	-0.398255051550213	1.98239015629106	3.12327362002372
-1.98609894014915	2.70285144232055	1.2273280119117	-0.884824413963388	2.2221472334343	2.5257741700475
1.81951099336921	4.0315129016782	-2.28417318803045	-1.98683226282606	2.36209033039952	0.258395922175771
-2.67764936454027	1.45962987373143	0.90246893169082	-1.05439681279332	2.96037808446798	2.035356433732
1.2470576539689	3.64803089310514	-3.12672945667884	1.8400830926073	1.8117185667073	-1.97537864800314
1.72705159208016	7.88784752485178	-0.874304479043226	-0.433944853621893	3.49387032882426	0.8564968398725
0.195558340698484	1.91563314389664	0.194648253012607	-1.14334234622476	2.05712965367087	-1.24282364324924
-2.78932062586412	-0.613635916767049	-0.453317678009694	-0.437759874228264	-2.07162790676173	2.39125688033714
